sample_id	cohort_source	broad_analysis_panel	provisional_genomic_lineage	figure_label	manuscript_wording	wording_tier	boundary_note	phylogeny_panel	best_current_public_species	best_current_public_fine_label	best_current_public_ani	public_distinct_species_ani_margin	best_direct_type_broad_group	best_direct_type_fine_label	best_direct_type_ani	type_distinct_broad_group_ani_margin	type_distinct_fine_label_ani_margin	label_status	included_in_updated_21	final_manuscript_wording	nearest_tree_public_accession	nearest_tree_public_reporting_label	nearest_tree_public_fine_label	nearest_tree_public_anchor_proximity_group	tree_context_consistency	lineage_mrca_ultrafast_bootstrap
Mi23	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.56750	0.04030	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.48050	0.39470	0.39470	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991915.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi24	directly_retained_original	M_colombiense	M_colombiense	M. colombiense	Mycobacterium colombiense	species_supported_public_and_type_anchor	public and type-anchor evidence concordant	colombiense_context	Mycobacterium colombiense	Mycobacterium colombiense	98.84080	6.73930	Mycobacterium colombiense	Mycobacterium colombiense	97.69110	10.15560	10.15560	final_analysis_label_after_context_tree_review	true	Mycobacterium colombiense	GCF_000661085.1	Mycobacterium colombiense	Mycobacterium colombiense	Mycobacterium colombiense	context_supported	
Mi25	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.56710	0.07960	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.47860	0.49320	0.49320	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_016756015.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi3	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.26950	0.12550	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.12700	0.17110	0.17110	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991935.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi30	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.98770	1.04180	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.26060	0.77870	0.62840	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_055794925.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00
Mi31	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_TMI_lineage	MI: TMI	typical Mycobacterium intracellulare (TMI) genomic lineage	lineage_wording_preferred	typical-MI public/type context; tree confirmation required	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.61980	0.56200	Mycobacterium intracellulare	Mycobacterium intracellulare ATCC 13950	99.22910	0.62260	0.56330	final_analysis_label_after_context_tree_review	true	typical Mycobacterium intracellulare (TMI) genomic lineage	GCF_000277145.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	100.00
Mi32	rescued_from_mixed_or_failed_original_assembly	M_intracellulare_complex	MI_chimaera_adjacent_lineage	MI: chimaera-adjacent	Mycobacterium intracellulare chimaera-adjacent public-context lineage	legacy_subgroup_context_only	public chimaera-adjacent placement with yongonense/typical-MI anchor proximity	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium chimaera legacy subgroup	99.98980	1.81500	Mycobacterium intracellulare	Mycobacterium intracellulare subsp. yongonense legacy anchor	98.30870	0.39410	0.20510	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare chimaera-adjacent public-context lineage	GCF_002292625.1	Mycobacterium intracellulare	Mycobacterium chimaera legacy subgroup	Mycobacterium intracellulare	context_supported	
Mi4	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.59390	0.08840	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.50550	0.34310	0.34310	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_056991875.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi42	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.61670	0.08070	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.53600	0.43760	0.43760	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_010731935.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mi8	directly_retained_original	M_intracellulare_complex	MI_MP_MIP_lineage	MI: MP-MIP	Mycobacterium intracellulare MP-MIP genomic lineage	lineage_wording_required	M. paraintracellulare/M. indicus pranii-associated genomic group; M. paraintracellulare is retained only as a historical boundary label	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	99.51160	0.02100	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	99.44000	0.36240	0.36240	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare MP-MIP genomic lineage	GCF_016756275.1	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	Mycobacterium paraintracellulare	context_supported	100.00
Mix16B	directly_retained_original	M_intracellulare_complex	MI_yongonense_chimaera_boundary	MI: yongonense/chimaera boundary	Mycobacterium intracellulare yongonense/chimaera boundary lineage	legacy_subgroup_boundary_wording_required	fine-anchor margin below 0.15 percentage points	intracellulare_complex_context	Mycobacterium intracellulare	Mycobacterium intracellulare	98.54790	0.57410	Mycobacterium intracellulare	Mycobacterium intracellulare subsp. yongonense legacy anchor	98.26830	0.31630	0.06230	final_analysis_label_after_context_tree_review	true	Mycobacterium intracellulare yongonense/chimaera boundary lineage	GCF_040408715.1	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium intracellulare	context_supported	
