block_id	representative_genome	contig	start	end	strand	original_prodigal_id	stable_family	cluster_id	conservative_product
TMI_methyltransferase_hydrolase_cupin_block	LOCAL_Mi1	NODE_1_length_668241_cov_57.113662	457271	457753	+	NODE_1_length_668241_cov_57.113662_393	True	LOCAL_Mi1__gene00393	Quercetin dioxygenase-like cupin family protein
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	205851	206177	+	NODE_2_length_912165_cov_65.605915_178	True	LOCAL_Ma20__gene01170	Carboxymuconolactone decarboxylase family protein
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	206182	207315	+	NODE_2_length_912165_cov_65.605915_179	False		intervening ORF
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	207405	207851	+	NODE_2_length_912165_cov_65.605915_180	False		intervening ORF
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	207889	208362	+	NODE_2_length_912165_cov_65.605915_181	False		intervening ORF
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	208401	208592	+	NODE_2_length_912165_cov_65.605915_182	False		intervening ORF
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	208689	209456	-	NODE_2_length_912165_cov_65.605915_183	False		intervening ORF
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	209553	210263	+	NODE_2_length_912165_cov_65.605915_184	False		intervening ORF
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	210253	211344	+	NODE_2_length_912165_cov_65.605915_185	True	LOCAL_Ma20__gene01177	NnrS protein
MP_MIP_nitrogen_redox_associated_block	LOCAL_Ma20	NODE_2_length_912165_cov_65.605915	211341	213935	+	NODE_2_length_912165_cov_65.605915_186	True	LOCAL_Ma20__gene01178	Copper-containing nitrite reductase
MP_MIP_oxidoreductase_associated_block	LOCAL_Ma20	NODE_3_length_685252_cov_60.054939	367128	369275	+	NODE_3_length_685252_cov_60.054939_368	True	LOCAL_Ma20__gene02160	Molybdopterin-dependent oxidoreductase
MP_MIP_oxidoreductase_associated_block	LOCAL_Ma20	NODE_3_length_685252_cov_60.054939	369265	370104	+	NODE_3_length_685252_cov_60.054939_369	True	LOCAL_Ma20__gene02161	SnoaL-like domain-containing protein
MP_MIP_oxidoreductase_associated_block	LOCAL_Ma20	NODE_3_length_685252_cov_60.054939	370122	371060	+	NODE_3_length_685252_cov_60.054939_370	True	LOCAL_Ma20__gene02162	Bifunctional protein: zinc-containing alcohol dehydrogenase quinone oxidoreductase ( NADPH:quinone reductase) Similar to arginate lyase
MP_MIP_oxidoreductase_associated_block	LOCAL_Ma20	NODE_3_length_685252_cov_60.054939	371081	372094	+	NODE_3_length_685252_cov_60.054939_371	True	LOCAL_Ma20__gene02163	5,10-methylenetetrahydromethanopterin reductase
MP_MIP_oxidoreductase_associated_block	LOCAL_Ma20	NODE_3_length_685252_cov_60.054939	372081	372728	+	NODE_3_length_685252_cov_60.054939_372	True	LOCAL_Ma20__gene02164	Mycothiol-dependent maleylpyruvate isomerase metal-binding domain-containing protein
